record_type,timeframe,resolution,suite,symbol,period_from,period_to,n_bars,n_trades,win_rate_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,total_return_pct,cagr_pct,expectancy,profit_factor,entry_date,exit_date,side,entry_price,exit_price,pnl,commission,net_pnl,p_up,p_down,confidence,mcmc_ms
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251113,20251113,SELL,1864.33,1868.55,-4.22,0.0,-4.22,0.0,0.9997223215397758,0.9997223215397758,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251113,20251113,SELL,1868.54,1869.0,-0.46,0.0,-0.46,0.0,0.9996427245616413,0.9996427245616413,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251113,20251113,SELL,1869.96,1869.96,-0.0,0.0,-0.0,0.0,0.9997137174655722,0.9997137174655722,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251113,20251113,SELL,1869.79,1864.81,4.98,0.0,4.98,0.0,0.8525115389741239,0.8525115389741239,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251113,20251113,SELL,1864.79,1864.78,0.01,0.0,0.01,0.0,8.390216375213208e-05,0.8980484474819965,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251113,20251113,SELL,1864.91,1859.06,5.85,0.0,5.85,0.0,0.0004064849056814427,0.986922008364948,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251113,20251113,SELL,1859.33,1858.9,0.43,0.0,0.43,0.0,0.0008792282092248685,0.9973194090671845,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251113,20251113,SELL,1863.97,1864.23,-0.26,0.0,-0.26,0.0,0.001333387267632128,0.9979841635657496,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251114,20251114,BUY,1858.62,1861.46,2.84,0.0,2.84,0.013161829086888765,0.0,0.9773352657396,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251114,20251114,SELL,1862.65,1859.34,3.31,0.0,3.31,0.0,0.001307385341864451,0.954129303982043,0.0
